"","bppcat","date","fullprice","week"
"1",914,2009-10-24,169.99001,"2009-42"
"2",914,2009-10-25,169.99001,"2009-42"
"3",914,2009-10-26,169.99001,"2009-43"
"4",914,2009-10-27,169.99001,"2009-43"
"5",914,2009-10-28,169.99001,"2009-43"
"6",914,2009-10-29,169.99001,"2009-43"
"7",914,2009-10-30,169.99001,"2009-43"
"8",914,2009-10-31,169.99001,"2009-43"
"9",914,2009-11-01,169.99001,"2009-43"
"10",914,2009-11-02,169.99001,"2009-44"
"11",914,2009-11-03,169.99001,"2009-44"
"12",914,2009-11-04,169.99001,"2009-44"
"13",914,2009-11-05,169.99001,"2009-44"
"14",914,2009-11-06,169.99001,"2009-44"
"15",914,2009-11-07,169.99001,"2009-44"
"16",914,2009-11-08,169.99001,"2009-44"
"17",914,2009-11-09,169.99001,"2009-45"
"18",914,2009-11-10,169.99001,"2009-45"
"19",914,2009-11-11,169.99001,"2009-45"
"20",914,2009-11-12,169.99001,"2009-45"
"21",914,2009-11-13,169.99001,"2009-45"
"22",914,2009-11-14,169.99001,"2009-45"
"23",914,2009-11-15,169.99001,"2009-45"
"24",914,2009-11-16,169.99001,"2009-46"
"25",914,2009-11-17,169.99001,"2009-46"
"26",914,2009-11-18,169.99001,"2009-46"
"27",914,2009-11-19,169.99001,"2009-46"
"28",914,2009-11-20,169.99001,"2009-46"
"29",914,2009-11-21,169.99001,"2009-46"
"30",914,2009-11-22,169.99001,"2009-46"
"31",914,2009-11-23,169.99001,"2009-47"
"32",914,2009-11-24,169.99001,"2009-47"
"33",914,2009-11-25,169.99001,"2009-47"
"34",914,2009-11-26,169.99001,"2009-47"
"35",914,2009-11-27,169.99001,"2009-47"
"36",914,2009-11-28,169.99001,"2009-47"
"37",914,2009-11-29,169.99001,"2009-47"
"38",914,2009-11-30,169.99001,"2009-48"
"39",914,2009-12-01,169.99001,"2009-48"
"40",914,2009-12-02,169.99001,"2009-48"
"41",914,2009-12-03,169.99001,"2009-48"
"42",914,2009-12-04,169.99001,"2009-48"
"43",914,2009-12-05,169.99001,"2009-48"
"44",914,2009-12-06,169.99001,"2009-48"
"45",914,2009-12-07,169.99001,"2009-49"
"46",914,2009-12-08,169.99001,"2009-49"
"47",914,2009-12-09,169.99001,"2009-49"
"48",914,2009-12-10,169.99001,"2009-49"
"49",914,2009-12-11,169.99001,"2009-49"
"50",914,2009-12-12,169.99001,"2009-49"
"51",914,2009-12-13,169.99001,"2009-49"
"52",914,2009-12-14,169.99001,"2009-50"
"53",914,2009-12-15,169.99001,"2009-50"
"54",914,2009-12-16,169.99001,"2009-50"
"55",914,2009-12-17,169.99001,"2009-50"
"56",914,2009-12-18,169.99001,"2009-50"
"57",914,2009-12-19,169.99001,"2009-50"
"58",914,2009-12-20,169.99001,"2009-50"
"59",914,2009-12-21,169.99001,"2009-51"
"60",914,2009-12-22,169.99001,"2009-51"
"61",914,2009-12-23,169.99001,"2009-51"
"62",914,2009-12-24,169.99001,"2009-51"
"63",914,2009-12-25,169.99001,"2009-51"
"64",914,2009-12-26,169.99001,"2009-51"
"65",914,2009-12-27,169.99001,"2009-51"
"66",914,2009-12-28,169.99001,"2009-52"
"67",914,2009-12-29,169.99001,"2009-52"
"68",914,2009-12-30,169.99001,"2009-52"
"69",914,2009-12-31,169.99001,"2009-52"
"70",914,2010-01-01,169.99001,"2010-00"
"71",914,2010-01-02,169.99001,"2010-00"
"72",914,2010-01-03,169.99001,"2010-00"
"73",914,2010-01-04,169.99001,"2010-01"
"74",914,2010-01-05,169.99001,"2010-01"
"75",914,2010-01-06,169.99001,"2010-01"
"76",914,2010-01-07,169.99001,"2010-01"
"77",914,2010-01-08,169.99001,"2010-01"
"78",914,2010-01-09,169.99001,"2010-01"
"79",914,2010-01-10,169.99001,"2010-01"
"80",914,2010-01-11,169.99001,"2010-02"
"81",914,2010-01-12,169.99001,"2010-02"
"82",914,2010-01-13,169.99001,"2010-02"
"83",914,2010-01-14,169.99001,"2010-02"
"84",914,2010-01-15,169.99001,"2010-02"
"85",914,2010-01-16,169.99001,"2010-02"
"86",914,2010-01-17,169.99001,"2010-02"
"87",914,2010-01-18,169.99001,"2010-03"
"88",914,2010-01-19,169.99001,"2010-03"
"89",914,2010-01-20,169.99001,"2010-03"
"90",914,2010-01-21,169.99001,"2010-03"
"91",914,2010-01-22,169.99001,"2010-03"
"92",914,2010-01-23,169.99001,"2010-03"
"93",914,2010-01-24,169.99001,"2010-03"
"94",914,2010-01-25,169.99001,"2010-04"
"95",914,2010-01-26,169.99001,"2010-04"
"96",914,2010-01-27,169.99001,"2010-04"
"97",914,2010-01-28,169.99001,"2010-04"
"98",914,2010-01-29,169.99001,"2010-04"
"99",914,2010-01-30,169.99001,"2010-04"
"100",914,2010-01-31,169.99001,"2010-04"
"101",914,2010-02-01,169.99001,"2010-05"
"102",914,2010-02-02,169.99001,"2010-05"
"103",914,2010-02-03,169.99001,"2010-05"
"104",914,2010-02-04,169.99001,"2010-05"
"105",914,2010-02-05,169.99001,"2010-05"
"106",914,2010-02-06,169.99001,"2010-05"
"107",914,2010-02-07,169.99001,"2010-05"
"108",914,2010-02-08,169.99001,"2010-06"
"109",914,2010-02-09,169.99001,"2010-06"
"110",914,2010-02-10,169.99001,"2010-06"
"111",914,2010-02-11,169.99001,"2010-06"
"112",914,2010-02-12,169.99001,"2010-06"
"113",914,2010-02-13,169.99001,"2010-06"
"114",914,2010-02-14,169.99001,"2010-06"
"115",914,2010-02-15,169.99001,"2010-07"
"116",914,2010-02-16,169.99001,"2010-07"
"117",914,2010-02-17,169.99001,"2010-07"
"118",914,2010-02-18,169.99001,"2010-07"
"119",914,2010-02-19,169.99001,"2010-07"
"120",914,2010-02-20,169.99001,"2010-07"
"121",914,2010-02-21,169.99001,"2010-07"
"122",914,2010-02-22,169.99001,"2010-08"
"123",914,2010-02-23,169.99001,"2010-08"
"124",914,2010-02-24,169.99001,"2010-08"
"125",914,2010-02-25,169.99001,"2010-08"
"126",914,2010-02-26,169.99001,"2010-08"
"127",914,2010-02-27,169.99001,"2010-08"
"128",914,2010-02-28,169.99001,"2010-08"
"129",914,2010-03-01,169.99001,"2010-09"
"130",914,2010-03-02,169.99001,"2010-09"
"131",914,2010-03-03,169.99001,"2010-09"
"132",914,2010-03-04,169.99001,"2010-09"
"133",914,2010-03-05,169.99001,"2010-09"
"134",914,2010-03-06,169.99001,"2010-09"
"135",914,2010-03-07,169.99001,"2010-09"
"136",914,2010-03-08,169.99001,"2010-10"
"137",914,2010-03-09,169.99001,"2010-10"
"138",914,2010-03-10,169.99001,"2010-10"
"139",914,2010-03-11,169.99001,"2010-10"
"140",914,2010-03-12,169.99001,"2010-10"
"141",914,2010-03-13,169.99001,"2010-10"
"142",914,2010-03-14,169.99001,"2010-10"
"143",914,2010-03-15,169.99001,"2010-11"
"144",914,2010-03-16,169.99001,"2010-11"
"145",914,2010-03-17,169.99001,"2010-11"
"146",914,2010-03-18,169.99001,"2010-11"
"147",914,2010-03-19,169.99001,"2010-11"
"148",914,2010-03-20,169.99001,"2010-11"
"149",914,2010-03-21,169.99001,"2010-11"
"150",914,2010-03-22,169.99001,"2010-12"
"151",914,2010-03-23,169.99001,"2010-12"
"152",914,2010-03-24,169.99001,"2010-12"
"153",914,2010-03-25,169.99001,"2010-12"
"154",914,2010-03-26,169.99001,"2010-12"
"155",914,2010-03-27,169.99001,"2010-12"
"156",914,2010-03-28,169.99001,"2010-12"
"157",914,2010-03-29,169.99001,"2010-13"
"158",914,2010-03-30,169.99001,"2010-13"
"159",914,2010-03-31,169.99001,"2010-13"
"160",914,2010-04-01,169.99001,"2010-13"
"161",914,2010-04-02,169.99001,"2010-13"
"162",914,2010-04-03,169.99001,"2010-13"
"163",914,2010-04-04,169.99001,"2010-13"
"164",914,2010-04-05,169.99001,"2010-14"
"165",914,2010-04-06,169.99001,"2010-14"
"166",914,2010-04-07,169.99001,"2010-14"
"167",914,2010-04-08,169.99001,"2010-14"
"168",914,2010-04-09,169.99001,"2010-14"
"169",914,2010-04-10,169.99001,"2010-14"
"170",914,2010-04-11,169.99001,"2010-14"
"171",914,2010-04-12,169.99001,"2010-15"
"172",914,2010-04-13,169.99001,"2010-15"
"173",914,2010-04-14,169.99001,"2010-15"
"174",914,2010-04-15,169.99001,"2010-15"
"175",914,2010-04-16,169.99001,"2010-15"
"176",914,2010-04-17,169.99001,"2010-15"
"177",914,2010-04-18,169.99001,"2010-15"
"178",914,2010-04-19,169.99001,"2010-16"
"179",914,2010-04-20,169.99001,"2010-16"
"180",914,2010-04-21,169.99001,"2010-16"
"181",914,2010-04-22,169.99001,"2010-16"
"182",914,2010-04-23,169.99001,"2010-16"
